,user,numeros,comentarios,data
29,danpgallo,360,360,2023-03-24T00:14:50.000Z
30,milenemauricio,449,449 pq vc comeu um kkkkkk brincadeira,2023-03-24T04:49:16.000Z
31,lentzfelipe,312,312,2023-03-24T10:35:12.000Z
32,enzovinaud,204,204,2023-03-23T22:39:08.000Z
33,mctiobima_official1,1220,1220 e algums quebrados 🥵,2023-03-25T15:41:01.000Z
34,natanbrito3956,572,572,2023-03-27T23:25:38.000Z
35,saulobelfort1,525,525,2023-03-23T22:56:55.000Z
36,pedro_orl,176,176,2023-03-23T22:36:43.000Z
37,rafa.stanzione,385,385,2023-03-28T01:02:17.000Z
38,dad.vix,218,218,2023-03-23T22:30:24.000Z
39,edsonfilhocc,242,242,2023-03-25T13:16:25.000Z
40,ariellelucca,364,364,2023-03-24T01:00:14.000Z
41,luiz_lang,92,92,2023-03-24T00:20:58.000Z
42,gedson._.lucas,340,340,2023-03-27T19:21:40.000Z
43,robertoasilva,5,5mil,2023-03-25T14:47:37.000Z
44,kleverson_abadio,276,276,2023-03-23T23:21:21.000Z
45,eddivino,570,570 confetes @wasluis,2023-03-28T17:59:04.000Z
46,silva_denis,171,171,2023-03-23T23:05:13.000Z
47,be.abarbosa,362,362,2023-03-24T01:43:45.000Z
48,eduh_marinho,345,345,2023-03-26T18:25:18.000Z
49,portacio_ngozi,243,243,2023-03-23T22:28:57.000Z
50,fernandozacheu,258,258,2023-03-23T22:59:21.000Z
51,ariel.patta,20,Eu chutei 20,2023-03-27T13:56:11.000Z
52,thauancavalcanti,360,360,2023-03-23T23:43:04.000Z
53,bazzitoni,280,280,2023-03-23T22:40:12.000Z
54,garanunes,402,402,2023-03-23T23:18:49.000Z
55,kiobe.kia.kuka,300,300,2023-03-24T15:56:07.000Z
56,_adriano_0,367,367,2023-03-23T22:40:49.000Z
57,lucasdoring_,120,120,2023-03-23T23:07:52.000Z
58,_drge12_,715,715,2023-03-24T20:17:45.000Z
59,andradeannavoig,470,470,2023-03-26T19:10:13.000Z
60,arthurkolblinger,272,272,2023-03-23T22:57:50.000Z
61,jo_do_forro,369,369,2023-03-23T23:11:23.000Z
62,leosmokouver,455,455,2023-03-24T03:03:48.000Z
63,joaogabrielga,147,147,2023-03-23T22:43:35.000Z
64,joaopaulodalmeida,501,"501, na mosca!!",2023-03-24T17:39:41.000Z
65,carla_otep,768,768,2023-03-23T22:29:11.000Z
66,matheusgswolff,397,Tem 397,2023-03-23T23:45:36.000Z
67,enediosrj,451,451,2023-03-24T08:35:50.000Z
68,juantvieira,287,287,2023-03-23T22:43:45.000Z
69,hugocavalari.mkt,400,400,2023-03-23T22:46:26.000Z
70,bruno.polimene,668,Meu chute é 668,2023-03-24T04:10:29.000Z
71,tulioferraz,504,504,2023-03-24T12:39:45.000Z
72,vinicius_salta,362,362 confetes,2023-03-23T22:52:42.000Z
73,iuriveiga,400,400,2023-03-24T00:10:17.000Z
74,jorgemilani,478,478,2023-03-23T22:34:52.000Z
75,pristchuk,396,396,2023-03-23T22:36:24.000Z
76,rafaeltasse,347,347,2023-03-23T22:28:20.000Z
77,rxnxn___,510,"510, kkk",2023-03-24T18:13:18.000Z
78,danieloliv_ofc,482,482,2023-03-24T16:25:50.000Z
79,vivorio,390,390,2023-03-23T22:34:49.000Z
80,higorosa,487,487,2023-03-23T22:35:16.000Z
81,thiagojnborba,500,500,2023-03-24T02:36:31.000Z
82,ziguibunga,347,347,2023-03-24T00:50:54.000Z
83,jonasgabriel007,423,423,2023-03-24T00:32:46.000Z
84,jpitooVerificado,385,385,2023-03-24T07:42:46.000Z
85,pedrinhoho12,417,417,2023-03-27T14:30:14.000Z
86,daviscatamburgo,100,100,2023-03-27T14:35:20.000Z
87,j0a0carlos23,396,396,2023-03-27T14:41:24.000Z
88,dk.tattoo17,245,245,2023-03-27T14:42:40.000Z
89,eduardolopescarvalho,590,590,2023-03-27T14:52:06.000Z
90,diogo__sauer,420,420,2023-03-27T14:55:33.000Z
91,_ot.lopes,300,300,2023-03-27T14:55:57.000Z
92,paulohenriquesiqueira_,650,650.,2023-03-27T14:58:49.000Z
93,iriscmt,476,476,2023-03-27T15:03:53.000Z
94,wn_cerqueira,423,423,2023-03-27T15:05:43.000Z
95,md7original,683,683,2023-03-27T15:07:38.000Z
96,danielsanntos_,249,249,2023-03-27T15:08:09.000Z
97,lucio_rss,645,645,2023-03-27T15:08:33.000Z
98,_lucaskawakami,540,540,2023-03-27T15:11:51.000Z
99,nyck3ls,688,688,2023-03-27T15:17:49.000Z
100,adrian_soar,114,Uns 114,2023-03-27T15:20:28.000Z
101,danielgarlet8,356,356,2023-03-27T15:25:38.000Z
102,augusto_da_veiga,540,540,2023-03-27T15:26:09.000Z
103,asafe_brum,457,457,2023-03-27T15:26:17.000Z
104,joao.henri.tassi,265,265,2023-03-27T15:28:53.000Z
105,psenajr,435,435,2023-03-27T15:31:20.000Z
106,_thallesmillan93,657,657,2023-03-27T15:39:12.000Z
107,raphuskarlh,130,130,2023-03-27T15:41:32.000Z
108,6uilherme,336,336,2023-03-27T15:44:08.000Z
109,_.kayfor._,643,643,2023-03-27T15:44:43.000Z
110,raitz_gili21,448,448,2023-03-27T15:49:11.000Z
111,f.morato.junior,320,320,2023-03-27T15:49:23.000Z
112,senhorita_taylors,259,259 confetes,2023-03-27T15:51:01.000Z
113,talvane.cardoso007,454,454,2023-03-27T15:52:53.000Z
114,higor.uk,547,547,2023-03-27T15:53:59.000Z
115,guxtaguga,281,281 confetes,2023-03-27T15:54:31.000Z
116,edmartramalho,474,474🙌,2023-03-27T15:56:17.000Z
117,rivyson,732,732,2023-03-27T15:58:57.000Z
118,m4tteuxx,300,300,2023-03-27T16:02:44.000Z
119,brenoalvesd1,600,600,2023-03-27T16:03:50.000Z
120,carlosssanttos,540,540,2023-03-27T16:04:59.000Z
121,valenca.messias,280,280,2023-03-27T16:05:03.000Z
122,erica_fernanda7,367,367,2023-03-27T16:05:04.000Z
123,deivid_cezario,475,475,2023-03-27T16:06:31.000Z
124,arthurcruzm18,457,457,2023-03-27T16:08:07.000Z
125,profelpz,0,0 confetes 🌚,2023-03-27T16:11:21.000Z
126,caio_emanuel.pv,100,100,2023-03-27T16:23:01.000Z
127,giovaniferreiradafonseca,468,468,2023-03-27T16:24:22.000Z
128,talisson.ig,503,503,2023-03-27T16:37:21.000Z
129,veiva_barbosa,485,485,2023-03-27T16:39:39.000Z
130,alexmonteiro84,584,584,2023-03-27T16:43:00.000Z
131,fabio__escobar,545,545,2023-03-27T16:49:05.000Z
132,tiagogontijoc,400,400,2023-03-27T16:50:29.000Z
133,otton.pires,323,323,2023-03-27T16:55:46.000Z
134,_carlos_jnr,552,552,2023-03-27T17:02:58.000Z
135,_______kaique_______,250,250,2023-03-27T17:06:49.000Z
136,emerson_blacknery,405,405,2023-03-27T17:10:07.000Z
137,rian_medeiros_s,72,72,2023-03-27T17:10:31.000Z
138,rogeriomacaco762,332,Eu chuto 332,2023-03-27T17:14:26.000Z
139,moises.seminovos,437,437,2023-03-27T17:18:50.000Z
140,emanuel.e.shox,398,398,2023-03-27T17:28:09.000Z
141,viniweise,1117,1117,2023-03-27T17:28:23.000Z
142,taldodutra,637,637,2023-03-27T17:31:49.000Z
143,eusant07,399,399,2023-03-27T17:38:10.000Z
144,ale_varmaxidis,480,480! Confia,2023-03-27T17:48:42.000Z
145,mar2a_eduard1,500,500,2023-03-27T17:48:43.000Z
146,fcbucci,1262,1262,2023-03-27T17:51:25.000Z
147,joao._34y,300,300,2023-03-27T17:51:38.000Z
148,ericssm,604,604,2023-03-27T17:57:16.000Z
149,igortosta,321,321,2023-03-27T18:05:26.000Z
150,msghubner,739,739,2023-03-27T18:06:34.000Z
151,therealsushifood,9,9 milhões,2023-03-27T18:07:20.000Z
152,erivaldorlq,260,260,2023-03-27T18:10:37.000Z
153,miguelcurado,504,504,2023-03-27T18:17:38.000Z
154,llucas.05_,539,539 confetes,2023-03-27T18:21:27.000Z
155,saviop.c,369,369,2023-03-27T18:26:14.000Z
156,gustavomendonca2007,344,344,2023-03-27T18:27:55.000Z
157,rodrigo_leitao30,600,600,2023-03-27T18:37:11.000Z
158,by_plusthiago,432,432,2023-03-27T18:41:26.000Z
159,miriam_da_silva13,501,501,2023-03-27T18:41:30.000Z
160,prof.romero.tori,579,579,2023-03-27T18:47:15.000Z
161,a.k.6.16,635,635,2023-03-27T18:47:36.000Z
162,jksflx,150,150 😁,2023-03-27T18:57:52.000Z
163,wevertonwirtz,435,435,2023-03-27T19:01:27.000Z
164,adrielsonpereira_zzz,100,100,2023-03-27T19:01:56.000Z
165,fisio_marisetelanzarin,540,Tem 540 doces,2023-03-27T19:03:02.000Z
166,anthony_emannuel__,326,326,2023-03-27T19:07:56.000Z
167,viniciusc_antunes,419,419,2023-03-27T19:09:46.000Z
168,matheussmarquessss,600,600,2023-03-27T19:14:32.000Z
169,eder.calegari,437,437,2023-03-27T19:16:38.000Z
170,bernardinoeliab,233,233,2023-03-27T19:17:04.000Z
171,caio_henrique_bh,275,275?,2023-03-27T19:17:22.000Z
172,dyllanbartender,373,373,2023-03-27T19:22:37.000Z
173,christian_.br,124,124 tem ai,2023-03-27T19:25:18.000Z
174,thiagoballestero,540,540 confeitos,2023-03-27T19:25:29.000Z
175,quares.vinicius,612,612,2023-03-27T19:25:33.000Z
176,marianalucenna,350,350,2023-03-27T19:25:50.000Z
177,i_am_jojojmo,358,Tem 358 confetes de puro achismo skskks,2023-03-27T19:27:55.000Z
178,eduardorochanovakc,335,335,2023-03-27T19:35:19.000Z
179,flipgolden,600,"Vc conseguir calcular o tamanho de cada confete e a área em que ele está ocupando ali, vc consegue saber quantos teria, vou no chute full, deve ter uns 600",2023-03-27T19:37:42.000Z
180,joaoliiman,394,394,2023-03-27T19:42:42.000Z
181,gustavodemellobarbosa,431,431,2023-03-27T19:49:12.000Z
182,palestinow,8,8,2023-03-27T19:51:32.000Z
183,pedro___victor,275,275 confetes,2023-03-27T19:55:33.000Z
184,lucas_md_f2o3,295,295,2023-03-27T20:00:33.000Z
185,tiago_mt_19,480,480,2023-03-27T20:01:57.000Z
186,_acainoite_edia,547,Tem 547,2023-03-27T20:02:30.000Z
187,imteixeira_oficial,295,295,2023-03-27T20:03:44.000Z
188,thalesmendeslima,514,514,2023-03-27T20:08:05.000Z
189,giggsengel,487,487,2023-03-27T20:08:47.000Z
190,o_nata_rojas,600,600,2023-03-27T20:08:57.000Z
191,matheusaraujo4052,650,650,2023-03-27T20:10:14.000Z
192,pv._.s1lva,530,530,2023-03-27T20:14:49.000Z
193,fs_lima1,489,489,2023-03-27T20:16:15.000Z
194,geek.power_,523,523,2023-03-27T20:17:09.000Z
195,lopes69_,322,"322, confia",2023-03-27T20:21:33.000Z
196,fabiopaz013,515,515.,2023-03-27T20:27:30.000Z
197,victor_abissamra,360,360,2023-03-27T20:28:54.000Z
198,mcpl46,586,586,2023-03-27T20:29:31.000Z
199,caiuamzim,320,320,2023-03-27T20:30:00.000Z
200,rtejo84,484,484,2023-03-27T20:32:57.000Z
201,vinicius_amorim07,996,996,2023-03-27T20:34:14.000Z
202,_lucassantana97,360,360 🔥,2023-03-27T20:36:01.000Z
203,wn_cerqueira,613,613,2023-03-27T20:37:27.000Z
204,diegodvicente,3,Deve ter uns 3,2023-03-27T20:38:18.000Z
205,2020nicklopes,205,205,2023-03-27T20:43:13.000Z
206,samuel_9ereira,435,435,2023-03-27T20:44:37.000Z
207,leonardolucas721,10,Mil menos 10,2023-03-27T20:45:28.000Z
208,luca_felippe,108,108,2023-03-27T21:00:23.000Z
209,brunorotondo84,396,396,2023-03-27T21:04:16.000Z
210,yurifranca184,1223,1223🔥🙌,2023-03-27T21:10:57.000Z
211,daveklxv__,10,Tem mais de 10! Certeza.,2023-03-27T21:11:16.000Z
212,tipcicii_,672,Exatamente 672 👉🏽,2023-03-27T21:12:14.000Z
213,a_la_tutsy,672,"672, só um chute",2023-03-27T21:13:15.000Z
214,lukas_maldonado,540,540,2023-03-27T21:15:53.000Z
215,wil_ss_,500,500,2023-03-27T21:25:14.000Z
216,sam.karv,735,735,2023-03-27T21:30:49.000Z
217,albertfeathergrandson,226,Saiu o resultado? Pois eu acho que são 226,2023-03-27T21:38:42.000Z
218,bolaproaltoarena,1202,1202,2023-03-27T21:38:47.000Z
219,vandersonxbaptista,456,456,2023-03-27T21:40:44.000Z
220,fernaando._.1,296,296,2023-03-27T21:42:04.000Z
221,tiago_grajeda,531,531,2023-03-27T21:44:39.000Z
222,icaro_edivan,492,492,2023-03-27T21:57:50.000Z
223,diogenes.isaac,4678,4678,2023-03-27T22:01:33.000Z
224,rodrigoaugustozebra9097,273,273,2023-03-27T22:02:42.000Z
225,_du.sena,373,373,2023-03-27T22:06:17.000Z
226,01_vinisousa,170,170,2023-03-27T22:12:21.000Z
227,_kleberartur21,321,321,2023-03-27T22:18:21.000Z
228,daniel_slvv,2024,2024 M&M's,2023-03-27T22:26:56.000Z
229,brunoleonardo_p,280,280,2023-03-27T22:28:48.000Z
230,kraus_333,24,Alguém me chama aqui dia 24,2023-03-27T22:29:27.000Z
231,philipe.ads,1,1? Kkkk média quebrada,2023-03-27T22:30:51.000Z
232,pedro.lustosa,360,360,2023-03-27T22:31:59.000Z
233,ricardo_dufer,573,573,2023-03-27T22:39:02.000Z
234,edsonrs_,622,622,2023-03-27T22:43:28.000Z
235,nidsonlacerdaoficial,450,450,2023-03-27T22:45:18.000Z
236,fillipecaetanooo,447,447,2023-03-27T22:48:34.000Z
237,yo_c.s,217,217,2023-03-27T22:51:58.000Z
238,arturmunizzz,52,52,2023-03-27T22:52:33.000Z
239,yo_c.s,217,217,2023-03-27T22:52:58.000Z
240,danilokalil1979,100,Só 100 Reais? Obrigado.,2023-03-27T22:54:20.000Z
241,eita_jhonvt,720,720,2023-03-27T22:55:44.000Z
242,z4_hsdk,240,240,2023-03-27T22:56:14.000Z
243,douglas.a.soares,400,400,2023-03-27T22:59:09.000Z
244,lucas_perna_longa_,800,800,2023-03-27T23:01:17.000Z
245,_zenitsu_a.br,396,Uns 396 já passou da data mas esse é meu palpite,2023-03-27T23:03:10.000Z
246,thiagomoran,420,420,2023-03-27T23:07:23.000Z
247,barbudo_top,540,540,2023-03-27T23:08:10.000Z
248,augustodiasofc,579,579,2023-03-27T23:09:06.000Z
249,raultrennepohl,432,432,2023-03-27T23:09:19.000Z
250,niji_c4,380,380,2023-03-27T23:12:53.000Z
251,_joao_bonilha,450,450,2023-03-27T23:24:21.000Z
252,hidelmarluz,493,493,2023-03-27T23:24:51.000Z
253,guarino324,721,721,2023-03-27T23:26:10.000Z
254,maxalanreis,783,783,2023-03-27T23:26:47.000Z
255,silvia3c,738,738,2023-03-27T23:31:50.000Z
256,_leonardo.j.silva,602,602,2023-03-27T23:32:01.000Z
257,silvia3c,739,739,2023-03-27T23:32:15.000Z
258,lary_lino_,540,540,2023-03-27T23:39:04.000Z
259,rafaelmartinsmacedo,360,360,2023-03-27T23:49:55.000Z
260,paulo_franklin29,540,540,2023-03-27T23:53:39.000Z
261,serodio.leo,541,541,2023-03-27T23:54:49.000Z
262,andrade_.g,473,473,2023-03-28T00:11:25.000Z
263,safiraaime,300,300,2023-03-28T00:20:40.000Z
264,samuel_perazzolli,357,357,2023-03-28T00:22:05.000Z
265,nycolasbem,732,732,2023-03-28T00:24:00.000Z
266,jjonatan.vargas,300,300,2023-03-28T00:43:55.000Z
267,joselucas.hd,501,501,2023-03-28T00:53:23.000Z
268,l.aciioly,504,504,2023-03-28T00:54:28.000Z
269,viniiciuszzx,377,377,2023-03-28T01:03:08.000Z
270,paula.zuc,647,647,2023-03-28T01:05:12.000Z
271,a.bueno01,306,306,2023-03-28T01:07:11.000Z
272,riell_offc,600,600 confetes,2023-03-28T01:07:39.000Z
273,john.vic.sales,353,353,2023-03-28T01:08:16.000Z
274,fastcar.s21,1323,1323,2023-03-28T01:09:37.000Z
275,borgess_oficiall,726,726 de acordo com os meus conhecimentos,2023-03-28T01:11:51.000Z
276,adjalbas,664,664,2023-03-28T01:19:56.000Z
277,diana.di.a,324,Eu ia chutar 324 porque contei mais ou menos as fileirinhas e multipliquei,2023-03-28T01:20:24.000Z
278,dann777___,447,447,2023-03-28T01:22:56.000Z
279,waguinho_288,682,682,2023-03-28T01:24:09.000Z
280,dyoguu,563,563,2023-03-28T01:25:01.000Z
281,olivergerson_,9863,9863,2023-03-28T01:30:05.000Z
282,marcosguilhermefg,434,434,2023-03-28T01:31:59.000Z
283,franciscomatheus172,340,340,2023-03-28T01:33:03.000Z
284,eduu_pkfr,204,204,2023-03-28T01:45:07.000Z
285,go_yo_ga,396,396,2023-03-28T01:45:09.000Z
286,andre_dirb,396,396,2023-03-28T01:52:48.000Z
287,felipenovais9,535,535,2023-03-28T01:55:22.000Z
288,andreifrancioni,613,613,2023-03-28T01:56:36.000Z
289,zeca_ribeirao,98,98,2023-03-28T02:02:36.000Z
290,thyago_vale,654,654,2023-03-28T02:03:48.000Z
291,pedroluccam,396,396,2023-03-28T02:05:56.000Z
292,viniciushsaraujo,286,286,2023-03-28T02:07:19.000Z
293,camila.m.mota,403,403,2023-03-28T02:07:20.000Z
294,thiagotatsuyan,505,505,2023-03-28T02:08:01.000Z
295,marcelo_alves388,362,362,2023-03-28T02:11:09.000Z
296,vinic_s,285,285,2023-03-28T02:11:13.000Z
297,vinic_s,289,289,2023-03-28T02:11:16.000Z
298,vinic_s,241,241,2023-03-28T02:11:21.000Z
299,vinic_s,237,237,2023-03-28T02:11:26.000Z
300,shandyladelfo,360,360,2023-03-28T02:16:08.000Z
301,cureseminsta,379,379,2023-03-28T02:17:40.000Z
302,oficial_celio,540,540,2023-03-28T02:18:16.000Z
303,marcelolorenco,1447,1447 confetes,2023-03-28T02:20:03.000Z
304,eliielsson,353,353,2023-03-28T02:20:08.000Z
305,junior_correams,289,289,2023-03-28T02:21:04.000Z
306,guilherme25cp,502,502,2023-03-28T02:23:41.000Z
307,mthsmcn,241,241,2023-03-28T02:25:38.000Z
308,douglasferrazmoreira,482,482,2023-03-28T02:25:58.000Z
309,dan_fm.s,257,257,2023-03-28T02:38:10.000Z
310,coutinhojohn,592,592,2023-03-28T02:45:17.000Z
311,mark_us_yo,243,243,2023-03-28T02:49:46.000Z
312,kzimiru,360,360,2023-03-28T03:00:16.000Z
313,magicoguiparras,456,456 confetes,2023-03-28T03:07:55.000Z
314,matheustakao,1758,1758,2023-03-28T03:11:29.000Z
315,morto.trsh,432,432,2023-03-28T03:11:49.000Z
316,malu077hh,300,300,2023-03-28T03:16:40.000Z
317,paulotobo,1936,1936,2023-03-28T03:21:15.000Z
318,alexandreway,364,364,2023-03-28T03:21:21.000Z
319,samu910,405,405 🔥,2023-03-28T03:32:54.000Z
320,mcmattofc,278,Tem 278,2023-03-28T03:37:59.000Z
321,mcmattofc,174,174,2023-03-28T03:38:25.000Z
322,gb_guilherme__,524,524,2023-03-28T03:38:41.000Z
323,pvd_.dreey,573,573,2023-03-28T03:42:29.000Z
324,diogomoreth,496,496,2023-03-28T03:43:06.000Z
325,wanderssong,580,580,2023-03-28T03:52:55.000Z
326,lay_bernardino_,439,439,2023-03-28T03:53:50.000Z
327,rdleonel,246,246,2023-03-28T03:58:38.000Z
328,italo_rtp,187,187,2023-03-28T04:02:24.000Z
329,izadoraelisa,480,480,2023-03-28T04:02:32.000Z
330,jonas_columba,377,377,2023-03-28T04:05:42.000Z
331,dantesagrado,336,336,2023-03-28T04:09:15.000Z
332,danilo.k10,523,523,2023-03-28T04:13:53.000Z
333,wesley_kaue2,450,450,2023-03-28T04:16:35.000Z
334,vhgp_,564,564 talvez,2023-03-28T04:18:35.000Z
335,silva.292929,652,652,2023-03-28T04:24:41.000Z
336,gustavaugusto,212,212,2023-03-28T04:26:49.000Z
337,m_lpprado,234,eu acho q tem 234,2023-03-28T04:32:19.000Z
338,marcosjunior.3,548,548,2023-03-28T04:33:20.000Z
339,rc__z10,532,532,2023-03-28T04:38:37.000Z
340,alfredo.filho.165,744,744,2023-03-28T04:43:29.000Z
341,mcmarolavg,639,639,2023-03-28T04:47:16.000Z
342,mcmarolavg,242,242,2023-03-28T04:47:39.000Z
343,gg.melo,403,403,2023-03-28T04:51:14.000Z
344,gledson.miller13,456,456,2023-03-28T04:54:21.000Z
345,thay_fonse,623,623,2023-03-28T05:08:29.000Z
346,linoaugusto_,415,415,2023-03-28T05:20:31.000Z
347,_ivair_lemes,420,420,2023-03-28T05:36:03.000Z
348,kauesann,539,539,2023-03-28T05:58:48.000Z
349,_lucasdemoraes13,538,538,2023-03-28T06:20:16.000Z
350,wagnerlucas9,1,1 mil,2023-03-28T06:23:36.000Z
351,oo_melo_016,450,450,2023-03-28T06:24:59.000Z
352,shiuu__,475,475,2023-03-28T06:25:05.000Z
353,ramonsvv,1360,Aí tem papo de 1360 pra cima 👌🏽🤨,2023-03-28T06:44:18.000Z
354,julinho8888888,968,968,2023-03-28T06:47:40.000Z
355,goespereira_,439,439🧐,2023-03-28T06:50:01.000Z
356,thiagobarbosa.g,480,480,2023-03-28T06:56:10.000Z
357,ampelegrini,398,398,2023-03-28T06:59:54.000Z
358,_elewl,143,143,2023-03-28T07:18:01.000Z
359,samuseucool,433,433,2023-03-28T07:19:27.000Z
360,brandontatuagem,588,588,2023-03-28T07:48:17.000Z
361,wagnerdiamantino,540,540,2023-03-28T07:57:18.000Z
362,alexandrezenas,300,300,2023-03-28T08:39:36.000Z
363,marcioguedes07,300,300,2023-03-28T08:47:15.000Z
364,_pedroiv0,288,288,2023-03-28T09:02:29.000Z
365,victor.smaniotto_,500,500,2023-03-28T09:06:01.000Z
366,g_b.tencourt,324,324,2023-03-28T09:15:24.000Z
367,p0zeid0in,283,283,2023-03-28T10:13:05.000Z
368,patrickandradeptk,576,576.,2023-03-28T10:26:40.000Z
369,anndspc,1242,1242,2023-03-28T10:35:27.000Z
370,htts_fdss,789,789,2023-03-28T10:38:25.000Z
371,gabriel_rodriguesb,289,289,2023-03-28T10:43:34.000Z
372,nego_ruivo,586,586,2023-03-28T11:23:16.000Z
373,maxwelton14,540,540,2023-03-28T11:29:05.000Z
374,biellrocha2022,270,270,2023-03-28T11:57:48.000Z
375,legsusl,376,376,2023-03-28T12:01:07.000Z
376,gabriell_cold,350,350,2023-03-28T12:08:33.000Z
377,lucasmmachado,497,497,2023-03-28T12:08:59.000Z
378,mrcs_hnrique,638,638 confetes,2023-03-28T12:15:44.000Z
379,tiagoreis_terapeuta,444,444,2023-03-28T12:26:52.000Z
380,funakubo_henrique,360,360,2023-03-28T12:30:09.000Z
381,f.jose_w,480,480,2023-03-28T12:36:04.000Z
382,sr__inutil,269,269,2023-03-28T12:39:10.000Z
383,thewesterosii,372,372,2023-03-28T12:47:55.000Z
384,_rike_nascimento_,128,128 😂,2023-03-28T12:53:01.000Z
385,andressabeltrao97,360,360,2023-03-28T12:57:10.000Z
386,victor_sabioni,296,296,2023-03-28T13:05:04.000Z
387,jpeavila,389,389,2023-03-28T13:12:30.000Z
388,scoralick_13,467,467,2023-03-28T13:13:43.000Z
389,ananajuia,612,612,2023-03-28T13:16:02.000Z
390,luca_ferracini_,433,433 confetes,2023-03-28T13:21:24.000Z
391,francisco.santana24,409,409,2023-03-28T13:27:10.000Z
392,_renatoo_,254,254,2023-03-28T13:29:37.000Z
393,diogosilva1199,673,673,2023-03-28T13:35:24.000Z
394,jkodir2,281,281,2023-03-28T13:42:56.000Z
395,edsonmartimribeiro,84,84,2023-03-28T13:56:11.000Z
396,_.wmatheus._,350,350,2023-03-28T14:00:30.000Z
397,naturalemistico,500,500,2023-03-28T14:06:31.000Z
398,0_m4gr1n_,512,512,2023-03-28T14:07:36.000Z
399,landoliveirarocha,67,67,2023-03-28T14:10:00.000Z
400,isreal_071,541,541,2023-03-28T14:13:01.000Z
401,vitor_lcg,460,460,2023-03-28T14:25:37.000Z
402,moab_acioli,300,300,2023-03-28T14:35:42.000Z
403,ruansouza51,568,568,2023-03-28T14:36:23.000Z
404,onatandabarbearia,600,600,2023-03-28T14:39:10.000Z
405,cg_thereu,433,433,2023-03-28T14:56:19.000Z
406,dani_elly_vieira,557,557?,2023-03-28T14:56:45.000Z
407,djfx__oficial,235,235,2023-03-28T14:59:23.000Z
408,_zoi_de_gato__,350,350,2023-03-28T15:02:02.000Z
409,moises.alexandre,348,348,2023-03-28T15:05:08.000Z
410,_witineysegundo,2,"Vou chutar 2, só pra atrapalhar",2023-03-28T15:06:04.000Z
411,gustavo_l.m.a,499,499,2023-03-28T15:15:39.000Z
412,alex_olivei_,525,525,2023-03-28T15:19:52.000Z
413,sergio_manuel05,258,258,2023-03-28T15:22:58.000Z
414,thiago_conceicao0,367,367,2023-03-28T15:27:41.000Z
415,ney_oliveir,602,602,2023-03-28T15:36:00.000Z
416,tiagodrigues,282,282,2023-03-28T15:36:20.000Z
417,edersonmota_,650,650,2023-03-28T15:36:49.000Z
418,dias_kaique03,413,413,2023-03-28T15:40:16.000Z
419,gabrielcolucci1,454,454,2023-03-28T15:41:40.000Z
420,luiz.dafiel22,674,674,2023-03-28T15:42:41.000Z
421,lucas.lkim,465,465,2023-03-28T15:50:38.000Z
422,ruanjoseml,617,617 confetes,2023-03-28T15:53:44.000Z
